_id,nombre,descripcion,precio,inventario,categorias[0],categorias[1],categorias[2],caracteristicas.marca,caracteristicas.pantalla,caracteristicas.procesador,caracteristicas.ram,caracteristicas.almacenamiento,caracteristicas.resolucion,caracteristicas.tipo_pantalla,caracteristicas.frecuencia_refresco,caracteristicas.tipo,caracteristicas.conectividad,caracteristicas.memoria_interna,caracteristicas.duración_batería,caracteristicas.sensor,caracteristicas.grabación_video,caracteristicas.tecnologia_impresion,caracteristicas.velocidad_impresion,caracteristicas.interruptores,caracteristicas.iluminacion,caracteristicas.teclas_programables,caracteristicas.estandar_wifi,caracteristicas.bandas,caracteristicas.velocidad_maxima,caracteristicas.autonomia_bateria,caracteristicas.resistencia_agua,caracteristicas.sensor_oxigeno,caracteristicas.sensor_frecuencia_cardiaca,caracteristicas.estabilizacion,caracteristicas.cancelacion_ruido,caracteristicas.carga_rapida,caracteristicas.monitor_ritmo_cardiaco,caracteristicas.gps,caracteristicas.canales,caracteristicas.tamaño_pantalla,caracteristicas.tecnologia_pantalla,caracteristicas.sistema_operativo,caracteristicas.resolucion_camara,caracteristicas.autonomia_vuelo,caracteristicas.distancia_maxima,caracteristicas.resolucion_maxima,caracteristicas.almacenamiento_interno,caracteristicas.velocidad_procesador,caracteristicas.tecnologia,caracteristicas.capacidad,caracteristicas.presion,caracteristicas.tanques_tinta,caracteristicas.audio,caracteristicas.gpu,caracteristicas.grabacion_video,caracteristicas.asistente_virtual,caracteristicas.funciones[0],caracteristicas.funciones[1],caracteristicas.funciones[2],caracteristicas.tiempo_respuesta,caracteristicas.tecnologia_navegacion,caracteristicas.mapeo,caracteristicas.aplicación_movil,caracteristicas.vision_nocturna,caracteristicas.audio_bidireccional,caracteristicas.patrones_grabacion[0],caracteristicas.patrones_grabacion[1],caracteristicas.patrones_grabacion[2],caracteristicas.patrones_grabacion[3],caracteristicas.tecnologia_proyeccion,caracteristicas.brillo,caracteristicas.contraste,caracteristicas.pulsometro,caracteristicas.interruptores[0],caracteristicas.interruptores[1],caracteristicas.interruptores[2],caracteristicas.teclas_macro,caracteristicas.hdr,caracteristicas.compatibilidad
1,Portátil HP Pavilion,Portátil HP Pavilion 15.6 pulgadas,800,10,electrónica,informática,,HP,15.6 pulgadas,Intel Core i5,8 GB,512 GB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Smartphone Samsung Galaxy S20,Smartphone Samsung Galaxy S20 6.2 pulgadas,1000,15,electrónica,telefonía,,Samsung,6.2 pulgadas,Exynos 990,12 GB,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Monitor Dell UltraSharp,Monitor Dell UltraSharp 27 pulgadas,500,5,electrónica,informática,,Dell,27 pulgadas,,,,2560 x 1440,IPS,60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tableta Apple iPad Pro,Tableta Apple iPad Pro 11 pulgadas,1200,8,electrónica,informática,,Apple,11 pulgadas,A12Z Bionic,6 GB,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Reproductor de música Sony Walkman,Reproductor de música Sony Walkman con Bluetooth,150,20,electrónica,audio,,Sony,,,,,,,,Reproductor de música,Bluetooth,32 GB,30 horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cámara Canon EOS Rebel T7,Cámara Canon EOS Rebel T7 con lente 18-55mm,600,12,electrónica,fotografía,,Canon,,,,,24.1 megapíxeles,,,Cámara réflex digital,,,,APS-C CMOS,Full HD 1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Impresora HP LaserJet Pro,Impresora HP LaserJet Pro M404dw,300,8,electrónica,informática,,HP,,,,,,,,Impresora láser,"Wi-Fi, Ethernet",,,,,Láser,40 ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Teclado mecánico Razer BlackWidow,Teclado mecánico Razer BlackWidow Chroma,150,15,electrónica,informática,periféricos,Razer,,,,,,,,Teclado mecánico,,,,,,,,Razer Green,RGB Chroma,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Router TP-Link Archer C7,Router TP-Link Archer C7 AC1750,100,20,electrónica,informática,redes,TP-Link,,,,,,,,Router,,,,,,,,,,,802.11ac,Dual-band,"450 Mbps (2.4 GHz), 1300 Mbps (5 GHz)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Altavoces Bose SoundLink,Altavoces Bose SoundLink Revolve+,250,10,electrónica,audio,,Bose,,,,,,,,Altavoz Bluetooth,"Bluetooth, NFC",,,,,,,,,,,,,16 horas,IPX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Smartwatch Apple Watch Series 6,Smartwatch Apple Watch Series 6 44mm,400,25,electrónica,wearables,,Apple,OLED 44mm,,,,,,,Smartwatch,,,,,,,,,,,,,,,50 metros,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cámara deportiva GoPro HERO9,Cámara deportiva GoPro HERO9 Black,450,18,electrónica,fotografía,deportes,GoPro,,,,,5K,,,Cámara de acción,,,,,,,,,,,,,,,10 metros,,,HiperSmooth 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Auriculares Sony WH-1000XM4,Auriculares Sony WH-1000XM4 con cancelación de ruido,350,30,electrónica,audio,,Sony,,,,,,,,Auriculares Bluetooth,,,,,,,,,,,,,,30 horas,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Monitor de actividad Fitbit Charge 4,Monitor de actividad Fitbit Charge 4,150,20,electrónica,wearables,fitness,Fitbit,,,,,,,,Pulsera de actividad,,,,,,,,,,,,,,,50 metros,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Barra de sonido Sonos Beam,Barra de sonido Sonos Beam con Alexa integrado,400,12,electrónica,audio,,Sonos,,,,,,,,Barra de sonido,"Wi-Fi, Ethernet, HDMI ARC",,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Laptop Dell XPS 15,Laptop Dell XPS 15 con pantalla táctil,1500,8,electrónica,informática,,Dell,15.6 pulgadas 4K OLED,Intel Core i7,16 GB,512 GB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Smart TV Samsung QLED Q80T,Smart TV Samsung QLED Q80T 65 pulgadas,2000,5,electrónica,televisores,,Samsung,,,,,4K UHD,,,,,,,,,,,,,,,,,,,,,,,,,,,65 pulgadas,QLED,Tizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Drone DJI Mavic Air 2,Drone DJI Mavic Air 2 con cámara 4K,800,10,electrónica,drones,,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,Gimbal de 3 ejes,,,,,,,,,4K,34 minutos,10 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Consola de videojuegos Xbox Series X,Consola de videojuegos Xbox Series X,500,15,electrónica,videojuegos,,Microsoft,,,,,,,,Consola de videojuegos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4K,1 TB SSD,3.8 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cafetera Nespresso VertuoPlus,Cafetera Nespresso VertuoPlus con tecnología Centrifusion,150,20,electrónica,electrodomésticos,,Nespresso,,,,,,,,Cafetera de cápsulas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrifusion,1.2 litros,19 bares,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Impresora Epson EcoTank ET-2750,Impresora Epson EcoTank ET-2750 con tanques de tinta recargables,350,10,electrónica,informática,,Epson,,,,,,,,Impresora multifunción,"Wi-Fi, USB",,,,,Inyección de tinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recargables,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Barra de sonido LG SN7Y,Barra de sonido LG SN7Y con audio Dolby Atmos,400,8,electrónica,audio,,LG,,,,,,,,Barra de sonido,"Wi-Fi, Bluetooth, HDMI ARC",,,,,,,,,,,,,,,,,,,,,,3.1.2,,,,,,,,,,,,,,"Dolby Atmos, DTS:X",,,,,,,,,,,,,,,,,,,,,,,,,,
23,Laptop ASUS ROG Strix Scar 15,Laptop ASUS ROG Strix Scar 15,2000,5,electrónica,informática,gaming,ASUS,15.6 pulgadas 240 Hz,Intel Core i9,32 GB,1 TB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVIDIA GeForce RTX 3080,,,,,,,,,,,,,,,,,,,,,,,,,
24,Barra de sonido Sony HT-G700,Barra de sonido Sony HT-G700 con audio Dolby Atmos y DTS:X,600,15,electrónica,audio,,Sony,,,,,,,,Barra de sonido,"Wi-Fi, Bluetooth, HDMI ARC, óptico",,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,"Dolby Atmos, DTS:X",,,,,,,,,,,,,,,,,,,,,,,,,,
25,Smartphone OnePlus 9 Pro,Smartphone OnePlus 9 Pro 5G,900,10,electrónica,telefonía,,OnePlus,6.7 pulgadas 120 Hz,Qualcomm Snapdragon 888,12 GB,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Auriculares Apple AirPods Pro,Auriculares Apple AirPods Pro con cancelación de ruido,250,20,electrónica,audio,,Apple,,,,,,,,Auriculares Bluetooth,,,,,,,,,,,,,,4.5 horas (5 horas con cancelación de ruido desactivada),IPX4,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Cámara Sony Alpha A7 III,Cámara Sony Alpha A7 III con lente 28-70mm,2000,8,electrónica,fotografía,,Sony,,,,,24.2 megapíxeles,,,Cámara sin espejo,,,,Full-frame Exmor R CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4K HDR,,,,,,,,,,,,,,,,,,,,,,,,
28,Impresora Brother HL-L2390DW,Impresora Brother HL-L2390DW monocromática láser,150,12,electrónica,informática,,Brother,,,,,,,,Impresora láser monocromática,"Wi-Fi, USB, Ethernet",,,,,Láser,32 ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Laptop Lenovo ThinkPad X1 Carbon,Laptop Lenovo ThinkPad X1 Carbon 14 pulgadas,1700,10,electrónica,informática,,Lenovo,14 pulgadas,Intel Core i7,16 GB,512 GB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Televisor LG OLED CX,Televisor LG OLED CX 55 pulgadas,2000,5,electrónica,televisores,,LG,,,,,4K UHD,,,,,,,,,,,,,,,,,,,,,,,,,,,55 pulgadas,OLED,webOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Altavoz inteligente Amazon Echo Dot,Altavoz inteligente Amazon Echo Dot (4ª generación),50,30,electrónica,hogar,,Amazon,,,,,,,,Altavoz inteligente,"Wi-Fi, Bluetooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexa,Control por voz,Reproducción de música,Control de dispositivos del hogar,,,,,,,,,,,,,,,,,,,,
32,Monitor de juego ASUS ROG Swift PG279Q,Monitor de juego ASUS ROG Swift PG279Q 27 pulgadas,700,8,electrónica,informática,gaming,ASUS,27 pulgadas,,,,2560 x 1440,,165 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,IPS,,,,,,,,,,,,,,,,,,,1 ms,,,,,,,,,,,,,,,,,,,
33,Robot aspirador iRobot Roomba 960,Robot aspirador iRobot Roomba 960 con mapeo y navegación inteligente,500,10,electrónica,hogar,,iRobot,,,,,,,,Robot aspirador,Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iAdapt 2.0,true,iRobot HOME,,,,,,,,,,,,,,,,
34,Cámara de seguridad Arlo Pro 3,Cámara de seguridad Arlo Pro 3 con resolución 2K y visión nocturna a color,300,15,electrónica,hogar,seguridad,Arlo,,,,,2K,,,Cámara de seguridad,Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,true,,,,,,,,,,,,,,
35,Bocina Bluetooth JBL Charge 4,Bocina Bluetooth JBL Charge 4 resistente al agua,150,20,electrónica,audio,,JBL,,,,,,,,Bocina Bluetooth,Bluetooth,,,,,,,,,,,,,20 horas,IPX7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Micrófono Blue Yeti,Micrófono Blue Yeti USB para grabación y streaming,130,12,electrónica,audio,,Blue,,,,,,,,Micrófono USB,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardioide,Omnidireccional,Bidireccional,Estéreo,,,,,,,,,,
37,Laptop MSI GS66 Stealth,Laptop MSI GS66 Stealth 15.6 pulgadas,1800,5,electrónica,informática,gaming,MSI,15.6 pulgadas 240 Hz,Intel Core i9,32 GB,1 TB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVIDIA GeForce RTX 3080,,,,,,,,,,,,,,,,,,,,,,,,,
38,Cámara Nikon D850,Cámara Nikon D850 réflex digital de formato completo,3000,8,electrónica,fotografía,,Nikon,,,,,45.7 megapíxeles,,,Cámara réflex digital,,,,FX-format CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4K UHD,,,,,,,,,,,,,,,,,,,,,,,,
39,Proyector Epson Home Cinema 5050UB,Proyector Epson Home Cinema 5050UB 4K PRO-UHD,3000,5,electrónica,audiovisual,,Epson,,,,,4K,,,Proyector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3LCD,2600 lúmenes,"1,000,000:1",,,,,,,
40,Smartwatch Garmin Forerunner 945,Smartwatch Garmin Forerunner 945 con GPS y pulsómetro,600,15,electrónica,wearables,,Garmin,,,,,,,,Smartwatch deportivo,,,,,,,,,,,,,,2 semanas,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
41,Teclado Logitech G Pro X,Teclado Logitech G Pro X mecánico con interruptores intercambiables,150,20,electrónica,informática,periféricos,Logitech,,,,,,,,Teclado mecánico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GX Blue,GX Red,GX Brown,true,,
42,Router ASUS RT-AX86U,Router ASUS RT-AX86U AX5700 Wi-Fi 6,250,15,electrónica,informática,redes,ASUS,,,,,,,,Router,,,,,,,,,,,802.11ax (Wi-Fi 6),Dual-band,"4804 Mbps (5 GHz), 1148 Mbps (2.4 GHz)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Monitor LG UltraGear 27GL850-B,Monitor LG UltraGear 27GL850-B 27 pulgadas QHD Nano IPS 144Hz HDR,500,10,electrónica,informática,gaming,LG,27 pulgadas,,,,2560 x 1440 (QHD),,144 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,Nano IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
44,Smart TV Sony Bravia XR A90J,Smart TV Sony Bravia XR A90J 65 pulgadas OLED 4K HDR,3000,5,electrónica,televisores,,Sony,,,,,4K UHD,,,,,,,,,,,,,,,,,,,,,,,,,,,65 pulgadas,OLED,Android TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
45,Impresora Canon PIXMA TR8520,Impresora Canon PIXMA TR8520 multifunción inalámbrica,200,12,electrónica,informática,,Canon,,,,,,,,Impresora multifunción,"Wi-Fi, Bluetooth, Ethernet",,,,,Inyección de tinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Auriculares Bose QuietComfort 35 II,Auriculares Bose QuietComfort 35 II con cancelación de ruido,300,15,electrónica,audio,,Bose,,,,,,,,Auriculares Bluetooth,"Bluetooth, NFC",,,,,,,,,,,,,20 horas,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Portátil Microsoft Surface Laptop 4,Portátil Microsoft Surface Laptop 4 13.5 pulgadas,1300,8,electrónica,informática,,Microsoft,13.5 pulgadas,Intel Core i7,16 GB,512 GB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TV Box NVIDIA SHIELD,TV Box NVIDIA SHIELD con 4K HDR y Google Assistant,150,10,electrónica,televisores,,NVIDIA,,,,,4K HDR,,,TV Box,"Wi-Fi, Bluetooth, Ethernet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Assistant,,,,,,,,,,,,,,,,,,,,,,,
49,Teclado inalámbrico Apple Magic Keyboard,Teclado inalámbrico Apple Magic Keyboard,100,20,electrónica,informática,periféricos,Apple,,,,,,,,Teclado inalámbrico,Bluetooth recargable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mac, iPad"
50,Reproductor multimedia Roku Streaming Stick+,Reproductor multimedia Roku Streaming Stick+ 4K HDR,70,25,electrónica,televisores,,Roku,,,,,4K HDR,,,Reproductor multimedia,"Wi-Fi, Bluetooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
